,sparsity,pcn_loss,knn_loss
0,0.01,49.146871477273955,16.799992668403053
1,0.02,49.53071974452143,16.90061497543797
2,0.03,49.50682250915514,16.52785375485641
3,0.04,49.7279308820524,16.516858158347592
4,0.05,50.35153527913068,16.581850135409077
