ann_acc0,ann_acc1,ann_acc2,ann_acc3,ann_acc4,ann_acc5,ann_acc6,ann_acc7,ann_acc8,ann_acc9,ann_flop0,ann_flop1,ann_flop2,ann_flop3,ann_flop4,ann_flop5,ann_flop6,ann_flop7,ann_flop8,ann_flop9
0.345,0.305,0.33,0.32,0.32,0.33,0.3,0.435,0.315,0.355,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201
0.55,0.55,0.555,0.505,0.53,0.57,0.525,0.545,0.555,0.545,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201
0.775,0.775,0.775,0.755,0.77,0.77,0.76,0.765,0.755,0.765,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201,307112201
